epoch,train_loss,valid_loss,accuracy
1,0.436572,0.371691,0.818950
2,0.358522,0.308316,0.859337
3,0.333043,0.317670,0.856112
4,0.321376,0.315643,0.852887
5,0.314197,0.309987,0.855958
6,0.310236,0.307848,0.859797
7,0.303521,0.305093,0.861333
8,0.297891,0.307906,0.859029
9,0.287583,0.309033,0.857955
10,0.281725,0.311232,0.857647
