epoch,train_loss,valid_loss,accuracy
1,0.380463,0.318377,0.851044
2,0.336349,0.314039,0.858569
3,0.335939,0.315425,0.860104
4,0.316592,0.306608,0.863944
5,0.308468,0.304613,0.865479
