epoch,train_loss,valid_loss,accuracy
1,0.591460,0.396955,0.801320
2,0.458019,0.348010,0.825887
3,0.410657,0.333406,0.840473
4,0.388117,0.330608,0.846461
5,0.374661,0.325171,0.851835
