epoch,train_loss,valid_loss,accuracy
1,0.372536,0.369452,0.829238
2,0.374267,0.362858,0.829545
3,0.357676,0.361820,0.832924
4,0.362771,0.354735,0.835227
5,0.349266,0.353099,0.837070
