epoch,train_loss,valid_loss,accuracy
1,0.399720,0.339964,0.845209
2,0.347688,0.328622,0.841063
3,0.328461,0.320214,0.851658
4,0.316747,0.313993,0.853655
5,0.307483,0.310706,0.853655
