epoch,train_loss,valid_loss,accuracy
1,0.500216,0.329450,0.853194
2,0.436629,0.323111,0.849816
3,0.417807,0.324776,0.854269
4,0.408803,0.318619,0.862101
5,0.402107,0.319649,0.858415
