epoch,train_loss,valid_loss,accuracy
1,0.369897,0.389839,0.816646
2,0.363868,0.384790,0.827242
3,0.363275,0.362398,0.833845
4,0.359836,0.355687,0.836149
5,0.352837,0.355256,0.835688
