epoch,train_loss,valid_loss,accuracy
1,0.372837,0.363307,0.833257
2,0.371118,0.366985,0.833717
3,0.364852,0.349477,0.838170
4,0.367740,0.349743,0.837556
5,0.354638,0.355219,0.836174
6,0.347155,0.352473,0.837556
7,0.350813,0.348516,0.839245
8,0.339749,0.340847,0.843083
9,0.346767,0.340668,0.842469
10,0.331995,0.340906,0.844618
