epoch,train_loss,valid_loss,accuracy
1,0.423787,0.380141,0.821281
2,0.370037,0.362615,0.822816
3,0.362719,0.350487,0.837095
4,0.359627,0.347073,0.843851
5,0.357237,0.349470,0.838938
6,0.350897,0.352067,0.842469
7,0.349589,0.343772,0.841241
8,0.345117,0.341875,0.842469
9,0.339234,0.341752,0.843544
10,0.336600,0.341096,0.843390
