epoch,train_loss,valid_loss,accuracy
1,0.349808,0.319422,0.847666
2,0.325590,0.321770,0.848127
3,0.316608,0.315367,0.853194
4,0.313094,0.324444,0.847052
5,0.307645,0.319171,0.850584
6,0.305509,0.322653,0.846744
7,0.302262,0.318860,0.851044
8,0.298837,0.319669,0.853194
9,0.294745,0.323507,0.847512
10,0.292162,0.324683,0.850276
