epoch,train_loss,valid_loss,accuracy
1,0.553728,0.554171,0.741093
2,0.487622,0.403335,0.834152
3,0.443050,0.390073,0.818489
4,0.396603,0.357708,0.831695
5,0.362336,0.336693,0.845977
6,0.340169,0.324627,0.854115
7,0.328301,0.329182,0.846744
8,0.321116,0.307686,0.857494
9,0.312740,0.303659,0.860872
10,0.309891,0.303655,0.860258
