epoch,train_loss,valid_loss,accuracy
1,0.376094,0.376007,0.831406
2,0.378411,0.376765,0.828594
3,0.360183,0.367671,0.828906
4,0.350850,0.368912,0.830000
5,0.350694,0.360250,0.835781
6,0.352647,0.361573,0.831563
7,0.351402,0.433845,0.834687
8,0.338206,0.356400,0.837031
9,0.340925,0.362127,0.836094
10,0.338006,0.358024,0.834844
