epoch,train_loss,valid_loss,accuracy
1,0.348286,0.342020,0.847052
2,0.334231,0.335971,0.843827
3,0.324481,0.328162,0.848894
4,0.316061,0.324123,0.852733
5,0.306850,0.318087,0.851658
