epoch,train_loss,valid_loss,accuracy
1,0.376482,0.331659,0.847843
2,0.339193,0.353973,0.838938
3,0.331251,0.330226,0.848303
4,0.324602,0.322905,0.849225
5,0.319841,0.333075,0.841394
6,0.316508,0.320356,0.850914
7,0.310782,0.311565,0.856595
8,0.306221,0.310065,0.859051
9,0.301935,0.309841,0.856595
10,0.298411,0.308939,0.857976
