epoch,train_loss,valid_loss,accuracy
1,0.388785,0.363531,0.831414
2,0.366357,0.358084,0.829265
3,0.366873,0.364937,0.826347
4,0.359982,0.356440,0.832642
5,0.358967,0.347518,0.837556
6,0.361907,0.347945,0.838784
7,0.343937,0.345611,0.839091
8,0.344670,0.344186,0.837556
9,0.352680,0.341877,0.843697
10,0.342805,0.342456,0.843237
