epoch,train_loss,valid_loss,accuracy
1,0.526915,0.425717,0.831250
2,0.419125,0.403383,0.807500
3,0.395585,0.378712,0.828750
4,0.378852,0.381653,0.840000
5,0.366279,0.386412,0.831250
6,0.356623,0.366599,0.833750
7,0.342427,0.365257,0.840000
8,0.335840,0.375688,0.840000
9,0.323619,0.369202,0.841250
10,0.323178,0.387296,0.831250
