epoch,train_loss,valid_loss,accuracy
1,0.382275,0.373936,0.812039
2,0.384227,0.378679,0.819103
3,0.366425,0.369072,0.832924
4,0.362493,0.362903,0.830774
5,0.346731,0.354076,0.833385
6,0.362233,0.354842,0.835227
7,0.350574,0.350269,0.838913
8,0.347340,0.352850,0.834152
9,0.334513,0.354551,0.834767
10,0.350961,0.352724,0.835995
