epoch,train_loss,valid_loss,accuracy
1,0.396575,0.335804,0.840319
2,0.345767,0.316620,0.853831
3,0.330222,0.310804,0.857669
4,0.316224,0.310151,0.855059
5,0.304027,0.306585,0.859665
