epoch,train_loss,valid_loss,accuracy
1,0.393729,0.315168,0.853808
2,0.345190,0.323796,0.844902
3,0.325888,0.311872,0.854115
4,0.314705,0.306326,0.857494
5,0.306460,0.303740,0.859951
