epoch,train_loss,valid_loss,accuracy
1,0.474455,0.373373,0.824171
2,0.375731,0.362574,0.832002
3,0.368149,0.379792,0.823556
4,0.360594,0.381303,0.815264
5,0.357198,0.361002,0.833538
6,0.357224,0.359452,0.834152
7,0.351708,0.358980,0.836149
8,0.347353,0.355205,0.837070
9,0.344356,0.354131,0.837531
10,0.344586,0.354636,0.837991
